id;taxonRank;taxonomicStatus;publishingCountry;hasCoordinate;hasGeospatialIssues
706;GENUS;DOUBTFUL;BR;TRUE;FALSE
707;GENUS;DOUBTFUL;BR;TRUE;FALSE
708;GENUS;DOUBTFUL;BR;TRUE;FALSE
709;GENUS;ACCEPTED;BR;TRUE;FALSE
710;GENUS;DOUBTFUL;BR;TRUE;FALSE
711;GENUS;ACCEPTED;BR;TRUE;FALSE
712;GENUS;DOUBTFUL;BR;TRUE;FALSE
713;GENUS;DOUBTFUL;BR;TRUE;FALSE
714;KINGDOM;;BR;TRUE;FALSE
715;GENUS;ACCEPTED;BR;TRUE;FALSE
716;GENUS;DOUBTFUL;BR;TRUE;FALSE
717;SPECIES;ACCEPTED;BR;TRUE;FALSE
718;KINGDOM;;BR;TRUE;FALSE
719;SPECIES;SYNONYM;BR;TRUE;FALSE
720;SPECIES;SYNONYM;BR;TRUE;FALSE
721;KINGDOM;;BR;TRUE;FALSE
722;SPECIES;ACCEPTED;BR;TRUE;FALSE
723;GENUS;ACCEPTED;BR;TRUE;FALSE
724;GENUS;SYNONYM;BR;TRUE;FALSE
725;GENUS;ACCEPTED;BR;TRUE;FALSE
726;SPECIES;ACCEPTED;BR;TRUE;FALSE
727;GENUS;ACCEPTED;BR;TRUE;FALSE
728;SPECIES;ACCEPTED;BR;TRUE;FALSE
729;SPECIES;ACCEPTED;BR;TRUE;FALSE
730;GENUS;ACCEPTED;BR;TRUE;FALSE
731;GENUS;ACCEPTED;BR;TRUE;FALSE
732;KINGDOM;;BR;TRUE;FALSE
733;GENUS;ACCEPTED;BR;TRUE;FALSE
734;GENUS;ACCEPTED;BR;TRUE;FALSE
735;GENUS;ACCEPTED;BR;TRUE;FALSE
736;GENUS;ACCEPTED;BR;TRUE;FALSE
737;GENUS;ACCEPTED;BR;TRUE;FALSE
738;SPECIES;ACCEPTED;BR;TRUE;FALSE
739;SPECIES;ACCEPTED;BR;TRUE;FALSE
740;KINGDOM;;BR;TRUE;FALSE
741;KINGDOM;;BR;TRUE;FALSE
742;GENUS;ACCEPTED;BR;TRUE;FALSE
743;GENUS;ACCEPTED;BR;TRUE;FALSE
744;KINGDOM;;BR;TRUE;FALSE
745;KINGDOM;;BR;TRUE;FALSE
746;KINGDOM;;BR;TRUE;FALSE
747;KINGDOM;;BR;TRUE;FALSE
748;KINGDOM;;BR;TRUE;FALSE
749;KINGDOM;;BR;TRUE;FALSE
750;KINGDOM;;BR;TRUE;FALSE
751;KINGDOM;;BR;TRUE;FALSE
752;KINGDOM;;BR;TRUE;FALSE
753;KINGDOM;;BR;TRUE;FALSE
754;KINGDOM;;BR;TRUE;FALSE
